run,base_recall_micro,crc_recall_micro,rcps_recall_micro,ltt_recall_micro,base_recall_macro,crc_recall_macro,rcps_recall_macro,ltt_recall_macro,base_recall_weighted,crc_recall_weighted,rcps_recall_weighted,ltt_recall_weighted,base_recall_samples,crc_recall_samples,rcps_recall_samples,ltt_recall_samples,base_precision_micro,crc_precision_micro,rcps_precision_micro,ltt_precision_micro,base_precision_macro,crc_precision_macro,rcps_precision_macro,ltt_precision_macro,base_precision_weighted,crc_precision_weighted,rcps_precision_weighted,ltt_precision_weighted,base_precision_samples,crc_precision_samples,rcps_precision_samples,ltt_precision_samples,base_avg_prediction_set_size,base_total_false_positives,base_total_false_negatives,crc_avg_prediction_set_size,crc_total_false_positives,crc_total_false_negatives,rcps_avg_prediction_set_size,rcps_total_false_positives,rcps_total_false_negatives,ltt_avg_prediction_set_size,ltt_total_false_positives,ltt_total_false_negatives,with_demographics
10,0.46390243902439027,0.8875609756097561,0.9087804878048781,0.7429268292682927,0.3160619767758566,0.7995877316202371,0.8339795529078905,0.6009422131396374,0.46390243902439027,0.8875609756097561,0.9087804878048781,0.7429268292682927,0.4924670433145009,0.9043583535108959,0.9233252623083131,0.7706483723432876,0.539727582292849,0.4192396313364055,0.4116672190918131,0.4659629799602264,0.3683122891941018,0.37316587127261486,0.3729128677341049,0.37309530666276314,0.6061814371559865,0.6062211692549576,0.6055882329935424,0.6054743762423576,0.48354407676441574,0.4609900457358084,0.4480764057035243,0.5315218366065824,0.9480764057035244,1622,2198,2.335216572504708,5041,461,2.4350282485875705,5325,374,1.7586763518966908,3491,1054,True
11,0.361545988258317,0.8867416829745597,0.9031311154598826,0.0,0.2570702537617531,0.8141955776688814,0.8339367249106141,0.0,0.361545988258317,0.8867416829745597,0.9031311154598826,0.0,0.3803763440860215,0.9005376344086021,0.915994623655914,0.0,0.49464524765729584,0.3949231942477394,0.3936873533802516,0.0,0.3570168072678432,0.3640844931593203,0.3647562321465739,0.0,0.6084675007634205,0.6114917384757008,0.6122836137973088,0.0,0.37983870967741934,0.4264784946236559,0.4231182795698924,0.0,0.8032258064516129,1510,2610,2.4674731182795697,5554,463,2.520967741935484,5686,396,0.0,0,4088,True
12,0.21237864077669902,0.8776699029126214,0.9012135922330097,0.0,0.16797053489012792,0.8130623296009233,0.841191953195849,0.0,0.21237864077669902,0.8776699029126214,0.9012135922330097,0.0,0.22214747039827773,0.8908772874058127,0.9140204520990313,0.0,0.4789272030651341,0.402538127574307,0.3972822597902846,0.0,0.37387155823266616,0.37129825385337306,0.3702070174010614,0.0,0.5938734178465026,0.593140433193251,0.5924651136978393,0.0,0.22860602798708288,0.43128812343021167,0.42128632938643695,0.0,0.49165769644779334,952,3245,2.417384284176534,5367,504,2.515069967707212,5633,407,0.0,0,4120,True
13,0.32971276852522324,0.8641081342022688,0.8843832971276853,0.7301472363021965,0.21004885465619086,0.7464069667853352,0.7808855151850468,0.5512431078371828,0.32971276852522324,0.8641081342022688,0.8843832971276853,0.7301472363021965,0.35555257510729615,0.8885461373390557,0.9055793991416309,0.7674356223175965,0.5941713788603741,0.4304954304954305,0.4225092250922509,0.4893238434163701,0.3791503508431327,0.3712692450916717,0.3716543634498422,0.370239195101967,0.5961654664543844,0.5951571296315028,0.5952375364569097,0.5953041418985539,0.3579667381974249,0.4628934191702432,0.4517167381974248,0.5426055078683835,0.6166845493562232,933,2777,2.23068669527897,4736,563,2.3261802575107295,5008,479,1.6582618025751072,3157,1118,True
14,0.2878156410885021,0.8759499877420936,0.9065947536160823,0.0,0.22367540224467164,0.8109690890949045,0.8528656671273295,0.0,0.2878156410885021,0.8759499877420936,0.9065947536160823,0.0,0.29997306034482757,0.8864493534482759,0.9154094827586207,0.0,0.4780130293159609,0.39912868632707776,0.39227750079558715,0.0,0.3708226642966908,0.3681626675229149,0.36786695426054655,0.0,0.6229170830875078,0.6168629904458126,0.6165039522905017,0.0,0.2988505747126437,0.4301813936781609,0.41666666666666663,0.0,0.6616379310344828,1282,2905,2.4116379310344827,5379,506,2.5396012931034484,5729,381,0.0,0,4079,True
15,0.34207331876669095,0.8579752367079388,0.8897790725904345,0.0,0.24815854645441818,0.7731784361085462,0.8195591492072077,0.0,0.34207331876669095,0.8579752367079388,0.8897790725904345,0.0,0.3610961848468565,0.8766792047286405,0.9050241805480924,0.0,0.48023176550783914,0.40250569476082004,0.39273467638234033,0.0,0.3544494614178925,0.36558971489027337,0.3648862442963538,0.0,0.5882781856569979,0.596428598902366,0.5954683509305615,0.0,0.362260433458714,0.43001074691026325,0.41317392083109433,0.0,0.7882858678130038,1525,2710,2.358946802794197,5246,585,2.507254164427727,5667,454,0.0,0,4119,True
16,0.2617826617826618,0.8857142857142857,0.904029304029304,0.0,0.19459206652752314,0.8257726616263407,0.8500225465165906,0.0,0.2617826617826618,0.8857142857142857,0.904029304029304,0.0,0.27391187533584094,0.897501343363783,0.9148307361633531,0.0,0.5288603848051308,0.3972617743702081,0.3922025638309143,0.0,0.3862861160425785,0.3691933459491885,0.368287110892587,0.0,0.627587234693748,0.6129412697808649,0.612127126719237,0.0,0.277628515135232,0.4243686190220311,0.414651620992298,0.0,0.5445996775926921,955,3023,2.4529822675980655,5503,468,2.536002149382053,5737,393,0.0,0,4095,True
17,0.1607490272373541,0.8550583657587548,0.8835116731517509,0.0,0.13351408507120827,0.7528257195475881,0.7936252467072323,0.0,0.1607490272373541,0.8550583657587548,0.8835116731517509,0.0,0.16698037106749125,0.8769830599623555,0.9027964506587792,0.0,0.4496598639455782,0.4186711121695642,0.4100914324415848,0.0,0.37357817620975514,0.3686919786182404,0.3685828728684166,0.0,0.6043559399846518,0.6001446630833869,0.6001365288417834,0.0,0.17182038182307072,0.45177915210181946,0.4372591198350811,0.0,0.395267545038989,809,3451,2.258133906964238,4882,596,2.382091960204356,5226,479,0.0,0,4112,True
18,0.27959882583170254,0.8703522504892368,0.9031311154598826,0.0,0.166997240126631,0.7630010970421702,0.8177295719276771,0.0,0.27959882583170254,0.8703522504892368,0.9031311154598826,0.0,0.3006993006993007,0.8905325443786982,0.9189080150618613,0.0,0.6321902654867256,0.4122827346465817,0.4009556907037359,0.0,0.3847617839957125,0.3643554970886958,0.36484275512370806,0.0,0.6280804124570538,0.6166172475201807,0.6160540555685907,0.0,0.3041958041958042,0.43786982248520706,0.4212390173928635,0.0,0.48628294782140935,665,2945,2.321140398063475,5072,530,2.476600322754169,5516,396,0.0,0,4088,True
19,0.08414396887159534,0.8514105058365758,0.8876459143968871,0.0,0.051475965184976075,0.746431939152171,0.7931952258647607,0.0,0.08414396887159534,0.8514105058365758,0.8876459143968871,0.0,0.09000537345513165,0.8703653949489522,0.9050241805480924,0.0,0.5815126050420169,0.4151547491995731,0.405780989438577,0.0,0.3585842133513515,0.36515537261243286,0.36495541992304875,0.0,0.6116570141427256,0.6053440511141028,0.6051998876452694,0.0,0.09188608275120903,0.4340856170517643,0.4210997671502775,0.0,0.1598602901665771,249,3766,2.265717356260075,4932,611,2.4167114454594305,5345,462,0.0,0,4112,True
20,0.31499513145082764,0.8683057448880234,0.8875365141187926,0.0,0.20671265436638028,0.8047318105406832,0.8337009176885637,0.0,0.31499513145082764,0.8683057448880234,0.8875365141187926,0.0,0.3363343187315238,0.8814834721848965,0.8990862671324913,0.0,0.5270875763747455,0.3961132704053304,0.3907824222936763,0.0,0.3521653862435435,0.3662335604952489,0.36630459197527016,0.0,0.5966125798878797,0.597081325584237,0.5973359007604789,0.0,0.3360655737704918,0.42605034488936655,0.4152109647944101,0.0,0.6597688793335125,1161,2814,2.420048374092986,5438,541,2.5073904864283794,5684,462,0.0,0,4108,True
21,0.25757943245209797,0.8644191122968712,0.8847926267281107,0.0,0.20304817948587917,0.7873419785160999,0.8106248155169881,0.0,0.25757943245209797,0.8644191122968712,0.8847926267281107,0.0,0.26848615219144933,0.8799408443129874,0.8999731110513579,0.0,0.4701195219123506,0.40298507462686567,0.3998684643209471,0.0,0.3678471935900069,0.36787414071724234,0.3678720634619997,0.0,0.5944695574851707,0.5990780761337683,0.5998053883750366,0.0,0.2727883839741866,0.43309133279555434,0.42739983866630815,0.0,0.6074213498252218,1197,3061,2.3780586179080396,5280,559,2.4530787846195214,5475,475,0.0,0,4123,True
22,0.06325739214735822,0.873242850218129,0.873242850218129,0.0,0.04578500430704013,0.7663881259484806,0.7663881259484806,0.0,0.06325739214735822,0.873242850218129,0.873242850218129,0.0,0.06676518001074691,0.8941429339065019,0.8941429339065019,0.0,0.47282608695652173,0.427047528742444,0.427047528742444,0.0,0.3514496254978437,0.3720980962740951,0.3720980962740951,0.0,0.5819457049856265,0.5931442956010148,0.5931442956010148,0.0,0.06985491671144546,0.44895217624932826,0.44895217624932826,0.0,0.14830736163353037,291,3865,2.266792047286405,4834,523,2.266792047286405,4834,523,0.0,0,4126,True
23,0.39110466521634035,0.885665941503505,0.9013778100072516,0.5528160502779792,0.2668619354659657,0.8038991684928005,0.8275529772063028,0.409859041264854,0.39110466521634035,0.885665941503505,0.9013778100072516,0.5528160502779792,0.4169123559367462,0.9020369874028411,0.9163763066202091,0.5824175824175825,0.5304918032786885,0.4004371584699454,0.3970823128527313,0.48391874735505713,0.36381600560172833,0.36688576211677315,0.36754191113286666,0.36022080671445983,0.6003102360345277,0.6050421324953674,0.6055188026374777,0.5956967429053402,0.4143214509068168,0.4274546591619762,0.42115607969266505,0.5146520146520147,0.8174752077191102,1432,2519,2.4524256231573305,5486,473,2.517019565800054,5662,408,1.266684534977218,2439,1850,True
24,0.3546977421704297,0.8815246419033747,0.8943918426802622,0.0,0.27458310025029636,0.7989922452195639,0.8166338464433794,0.0,0.3546977421704297,0.8815246419033747,0.8943918426802622,0.0,0.3722804190169218,0.897931775449906,0.9094816008595219,0.0,0.5022344448264008,0.4088963963963964,0.4038588028941022,0.0,0.3833730193627312,0.3698993123424879,0.3688863981784258,0.0,0.6051350076719362,0.5963399267504027,0.5957057650210098,0.0,0.37201181842600056,0.4407288029366997,0.4318649834362968,0.0,0.7813591189900618,1448,2658,2.3851732473811444,5249,488,2.450174590384099,5438,435,0.0,0,4119,True
25,0.37472714043172445,0.8571428571428571,0.878243997089498,0.7860780984719864,0.2025924528589901,0.7098906999868535,0.7510970613147491,0.590973919365057,0.37472714043172445,0.8571428571428571,0.878243997089498,0.7860780984719864,0.4091031149301826,0.8870837808807733,0.9033297529538131,0.8249194414607949,0.6785243741765481,0.44208156117087816,0.4289267945984364,0.4875883857379269,0.36776714266538635,0.36785133118014945,0.36796002939432565,0.3680184296194051,0.5995051827944518,0.5992848083634907,0.5991290462507768,0.5996026929033051,0.4072234156820623,0.4817400644468314,0.4625850340136054,0.5441729323308271,0.6114393125671321,732,2578,2.1466165413533833,4460,589,2.2669172932330826,4821,502,1.7849087003222341,3406,882,True
26,0.22833133253301321,0.8770708283313325,0.8984393757503001,0.0,0.16769602464695352,0.8092831464431942,0.8407679997145578,0.0,0.22833133253301321,0.8770708283313325,0.8984393757503001,0.0,0.24119860252620262,0.8916957807041118,0.9107766729373824,0.0,0.4776494224008036,0.4027563395810364,0.39783117159260045,0.0,0.35568147131024525,0.37185344134296644,0.3723881813646159,0.0,0.574536335474505,0.5897079422395086,0.5904003235419439,0.0,0.24926095135716206,0.4259607632356893,0.41615157215802195,0.0,0.5350712174146735,1040,3214,2.4375167965600646,5417,512,2.52781510346681,5664,423,0.0,0,4165,True
27,0.15508021390374332,0.8687408847836655,0.8937773456490034,0.0,0.10183268080810838,0.7910536592015266,0.8244080679510426,0.0,0.15508021390374332,0.8687408847836655,0.8937773456490034,0.0,0.16460628863208815,0.8818865896264445,0.9049986562751948,0.0,0.5141015310233682,0.4006277323170048,0.39431635388739944,0.0,0.34661740866450425,0.3665875330017177,0.3663420531770791,0.0,0.5998647743578253,0.6145173785667368,0.614887019750136,0.0,0.17065305025530772,0.4299471468243304,0.4185254859804711,0.0,0.333512496640688,603,3476,2.3974737973662994,5347,540,2.5060467616232196,5648,437,0.0,0,4114,True
28,0.3810215444202372,0.8796901476640039,0.8963931251512951,0.6431856693294602,0.25131881603104184,0.7823927957411311,0.8111859139022287,0.47771264383076123,0.3810215444202372,0.8796901476640039,0.8963931251512951,0.6431856693294602,0.40997043805428646,0.9011018543402312,0.9153453372749261,0.6791185165278151,0.5573654390934845,0.42133333333333334,0.41733348360193845,0.5026485054861899,0.3663817381532999,0.371792964729756,0.373457531334007,0.37288276175995794,0.6020481586301588,0.6010857290648893,0.6020404293413446,0.6030091432192171,0.40468512048732425,0.4544925199319179,0.4479082683866344,0.5403565349816357,0.7589357699543133,1250,2557,2.3179252889008333,4991,497,2.3845740392367643,5170,428,1.4205858640150497,2629,1474,True
29,0.2651772705196697,0.8793103448275862,0.9052938319572608,0.0,0.2045899088398083,0.8073286858051435,0.843285410749992,0.0,0.2651772705196697,0.8793103448275862,0.9052938319572608,0.0,0.27636168500134156,0.8925409176281192,0.9162865575529917,0.0,0.46786632390745503,0.3982622085349758,0.3964270523181625,0.0,0.3661637190555706,0.3672308108358615,0.3690189277134511,0.0,0.6072931327729832,0.6059984820740169,0.6068379424706947,0.0,0.27725605938645914,0.4196851802164386,0.4155710580448976,0.0,0.6262409444593506,1242,3026,2.4394955728467935,5471,497,2.523209015293802,5676,390,0.0,0,4118,True
