run,recall_alpha_0.1,recall_alpha_0.25,name
0.0,0.894524959742351,0.7440955448201825,df_recall_cc_w_demo_ip
1.0,0.8946098149637972,0.7440332528828104,df_recall_cc_w_demo_ip
2.0,0.8943264318365152,0.7441516536703415,df_recall_cc_w_demo_ip
3.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
4.0,0.894524959742351,0.7440955448201825,df_recall_cc_w_demo_ip
5.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
6.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
7.0,0.8943548387096775,0.7442204301075269,df_recall_cc_w_demo_ip
8.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
9.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
10.0,0.8942695722356739,0.7440139897767016,df_recall_cc_w_demo_ip
11.0,0.8943548387096775,0.7442204301075269,df_recall_cc_w_demo_ip
12.0,0.8942411194833154,0.7439451022604952,df_recall_cc_w_demo_ip
13.0,0.8945815450643777,0.7439645922746781,df_recall_cc_w_demo_ip
14.0,0.8943965517241379,0.7439385775862069,df_recall_cc_w_demo_ip
15.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
16.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
17.0,0.8943264318365152,0.7441516536703415,df_recall_cc_w_demo_ip
18.0,0.8942980096826251,0.7440828402366864,df_recall_cc_w_demo_ip
19.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
20.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
21.0,0.8943264318365152,0.7441516536703415,df_recall_cc_w_demo_ip
22.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
23.0,0.8946663093004557,0.7439024390243902,df_recall_cc_w_demo_ip
24.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
25.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
26.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
27.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
28.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
29.0,0.8945532599946338,0.7438958948215723,df_recall_cc_w_demo_ip
30.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
31.0,0.8945815450643777,0.7439645922746781,df_recall_cc_w_demo_ip
32.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
33.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
34.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
35.0,0.8946098149637972,0.7440332528828104,df_recall_cc_w_demo_ip
36.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
37.0,0.8944818304172275,0.7441453566621804,df_recall_cc_w_demo_ip
38.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
39.0,0.8946098149637972,0.7440332528828104,df_recall_cc_w_demo_ip
40.0,0.8942695722356739,0.7440139897767016,df_recall_cc_w_demo_ip
41.0,0.8942411194833154,0.7439451022604952,df_recall_cc_w_demo_ip
42.0,0.8946098149637972,0.7440332528828104,df_recall_cc_w_demo_ip
43.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
44.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
45.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
46.0,0.894524959742351,0.7440955448201825,df_recall_cc_w_demo_ip
47.0,0.8943264318365152,0.7441516536703415,df_recall_cc_w_demo_ip
48.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
49.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
50.0,0.8942980096826251,0.7440828402366864,df_recall_cc_w_demo_ip
51.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
52.0,0.8944249932669001,0.7440075410719095,df_recall_cc_w_demo_ip
53.0,0.8943548387096775,0.7442204301075269,df_recall_cc_w_demo_ip
54.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
55.0,0.8945888025716582,0.7439057058665952,df_recall_cc_w_demo_ip
56.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
57.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
58.0,0.8942695722356739,0.7440139897767016,df_recall_cc_w_demo_ip
59.0,0.8946098149637972,0.7440332528828104,df_recall_cc_w_demo_ip
60.0,0.8943264318365152,0.7441516536703415,df_recall_cc_w_demo_ip
61.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
62.0,0.8942980096826251,0.7440828402366864,df_recall_cc_w_demo_ip
63.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
64.0,0.8944966442953021,0.7440268456375839,df_recall_cc_w_demo_ip
65.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
66.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
67.0,0.8943548387096775,0.7442204301075269,df_recall_cc_w_demo_ip
68.0,0.8943548387096775,0.7442204301075269,df_recall_cc_w_demo_ip
69.0,0.8944966442953021,0.7440268456375839,df_recall_cc_w_demo_ip
70.0,0.8943965517241379,0.7439385775862069,df_recall_cc_w_demo_ip
71.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
72.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
73.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
74.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
75.0,0.8943548387096775,0.7442204301075269,df_recall_cc_w_demo_ip
76.0,0.8943548387096775,0.7442204301075269,df_recall_cc_w_demo_ip
77.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
78.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
79.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
80.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
81.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
82.0,0.8942695722356739,0.7440139897767016,df_recall_cc_w_demo_ip
83.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
84.0,0.8944249932669001,0.7440075410719095,df_recall_cc_w_demo_ip
85.0,0.8943264318365152,0.7441516536703415,df_recall_cc_w_demo_ip
86.0,0.8944116066630844,0.7443578721117678,df_recall_cc_w_demo_ip
87.0,0.8945815450643777,0.7439645922746781,df_recall_cc_w_demo_ip
88.0,0.8943264318365152,0.7441516536703415,df_recall_cc_w_demo_ip
89.0,0.8944966442953021,0.7440268456375839,df_recall_cc_w_demo_ip
90.0,0.894524959742351,0.7440955448201825,df_recall_cc_w_demo_ip
91.0,0.8945815450643777,0.7439645922746781,df_recall_cc_w_demo_ip
92.0,0.8942980096826251,0.7440828402366864,df_recall_cc_w_demo_ip
93.0,0.894468313641246,0.7442266380236305,df_recall_cc_w_demo_ip
94.0,0.8944399677679291,0.7444265377383831,df_recall_cc_w_demo_ip
95.0,0.894524959742351,0.7440955448201825,df_recall_cc_w_demo_ip
96.0,0.8944966442953021,0.7440268456375839,df_recall_cc_w_demo_ip
97.0,0.8945532599946338,0.7438958948215723,df_recall_cc_w_demo_ip
98.0,0.8942695722356739,0.7440139897767016,df_recall_cc_w_demo_ip
99.0,0.8943832303144316,0.7442891695780705,df_recall_cc_w_demo_ip
0.0,0.9015029522275899,0.7482555018786903,df_recall_cc_wo_demo_ip
