run,precision_alpha_0.1,precision_alpha_0.25,name
0,0.36844694936482375,0.37399355877616747,df_precision_cc_w_demo_ip
1,0.3684187002771074,0.3739161526772146,df_precision_cc_w_demo_ip
2,0.36824415165367036,0.37398046069732005,df_precision_cc_w_demo_ip
3,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
4,0.36844694936482375,0.37399355877616747,df_precision_cc_w_demo_ip
5,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
6,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
7,0.3682795698924731,0.37401433691756275,df_precision_cc_w_demo_ip
8,0.3684210526315789,0.37406015037593987,df_precision_cc_w_demo_ip
9,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
10,0.36808357994798674,0.3738229755178908,df_precision_cc_w_demo_ip
11,0.3682795698924731,0.37401433691756275,df_precision_cc_w_demo_ip
12,0.3680480803731611,0.37378902045209905,df_precision_cc_w_demo_ip
13,0.36842811158798283,0.3738823319027182,df_precision_cc_w_demo_ip
14,0.3680854885057471,0.3736979166666667,df_precision_cc_w_demo_ip
15,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
16,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
17,0.36824415165367036,0.37398046069732005,df_precision_cc_w_demo_ip
18,0.3680742334588488,0.3738120853505469,df_precision_cc_w_demo_ip
19,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
20,0.3682701782674908,0.3740034041028397,df_precision_cc_w_demo_ip
21,0.36824415165367036,0.37398046069732005,df_precision_cc_w_demo_ip
22,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
23,0.3684445635665148,0.3738497275082641,df_precision_cc_w_demo_ip
24,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
25,0.3684210526315789,0.37406015037593987,df_precision_cc_w_demo_ip
26,0.3682701782674908,0.3740034041028397,df_precision_cc_w_demo_ip
27,0.3682701782674908,0.3740034041028397,df_precision_cc_w_demo_ip
28,0.3682701782674908,0.3740034041028397,df_precision_cc_w_demo_ip
29,0.36843752794919954,0.37389321169841694,df_precision_cc_w_demo_ip
30,0.3684210526315789,0.37406015037593987,df_precision_cc_w_demo_ip
31,0.36842811158798283,0.3738823319027182,df_precision_cc_w_demo_ip
32,0.3684210526315789,0.37406015037593987,df_precision_cc_w_demo_ip
33,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
34,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
35,0.3684187002771074,0.3739161526772146,df_precision_cc_w_demo_ip
36,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
37,0.3681471511888739,0.37388963660834457,df_precision_cc_w_demo_ip
38,0.3684210526315789,0.37406015037593987,df_precision_cc_w_demo_ip
39,0.3684187002771074,0.3739161526772146,df_precision_cc_w_demo_ip
40,0.36808357994798674,0.3738229755178908,df_precision_cc_w_demo_ip
41,0.3680480803731611,0.37378902045209905,df_precision_cc_w_demo_ip
42,0.3684187002771074,0.3739161526772146,df_precision_cc_w_demo_ip
43,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
44,0.3684210526315789,0.37406015037593987,df_precision_cc_w_demo_ip
45,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
46,0.36844694936482375,0.37399355877616747,df_precision_cc_w_demo_ip
47,0.36824415165367036,0.37398046069732005,df_precision_cc_w_demo_ip
48,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
49,0.3684210526315789,0.37406015037593987,df_precision_cc_w_demo_ip
50,0.3680742334588488,0.3738120853505469,df_precision_cc_w_demo_ip
51,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
52,0.3680761289164198,0.37368704551575543,df_precision_cc_w_demo_ip
53,0.3682795698924731,0.37401433691756275,df_precision_cc_w_demo_ip
54,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
55,0.3684703991427806,0.3738726672024288,df_precision_cc_w_demo_ip
56,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
57,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
58,0.36808357994798674,0.3738229755178908,df_precision_cc_w_demo_ip
59,0.3684187002771074,0.3739161526772146,df_precision_cc_w_demo_ip
60,0.36824415165367036,0.37398046069732005,df_precision_cc_w_demo_ip
61,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
62,0.3680742334588488,0.3738120853505469,df_precision_cc_w_demo_ip
63,0.3682701782674908,0.3740034041028397,df_precision_cc_w_demo_ip
64,0.36841163310961966,0.37395973154362416,df_precision_cc_w_demo_ip
65,0.3682701782674908,0.3740034041028397,df_precision_cc_w_demo_ip
66,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
67,0.3682795698924731,0.37401433691756275,df_precision_cc_w_demo_ip
68,0.3682795698924731,0.37401433691756275,df_precision_cc_w_demo_ip
69,0.36841163310961966,0.37395973154362416,df_precision_cc_w_demo_ip
70,0.3680854885057471,0.3736979166666667,df_precision_cc_w_demo_ip
71,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
72,0.3684399068601111,0.3741715923338707,df_precision_cc_w_demo_ip
73,0.3684304772137165,0.37416062315337095,df_precision_cc_w_demo_ip
