run,label_idx,crc_TP,crc_FP,crc_TN,crc_FN,rcps_TP,rcps_FP,rcps_TN,rcps_FN,ltt_TP,ltt_FP,ltt_TN,ltt_FN,name
7,0,351,1726,1410,233,382,1944,1192,202,0,0,3136,584,df_w_demo_025
7,1,242,1262,1871,345,289,1495,1638,298,0,0,3133,587,df_w_demo_025
7,2,2258,593,184,685,2396,637,140,547,0,0,777,2943,df_w_demo_025
8,0,260,1390,1740,334,260,1390,1740,334,0,0,3130,594,df_w_demo_025
8,1,260,1570,1615,279,260,1570,1615,279,0,0,3185,539,df_w_demo_025
8,2,2324,642,128,630,2324,642,128,630,0,0,770,2954,df_w_demo_025
9,0,267,1343,1778,334,267,1343,1778,334,0,0,3121,601,df_w_demo_025
9,1,365,1891,1259,207,365,1891,1259,207,0,0,3150,572,df_w_demo_025
9,2,2270,627,172,653,2270,627,172,653,0,0,799,2923,df_w_demo_025
10,0,264,1311,1796,346,274,1360,1747,336,288,1429,1678,322,df_w_demo_025
10,1,254,1254,1884,325,267,1306,1832,312,277,1380,1758,302,df_w_demo_025
10,2,2411,660,146,500,2450,671,135,461,2481,682,124,430,df_w_demo_025
11,0,304,1667,1461,288,317,1755,1373,275,0,0,3128,592,df_w_demo_025
11,1,330,1801,1368,221,348,1901,1268,203,0,0,3169,551,df_w_demo_025
11,2,2376,638,137,569,2444,654,121,501,0,0,775,2945,df_w_demo_025
12,0,393,1941,1148,234,393,1941,1148,234,0,0,3089,627,df_w_demo_025
12,1,302,1618,1485,311,302,1618,1485,311,0,0,3103,613,df_w_demo_025
12,2,2328,669,167,552,2328,669,167,552,0,0,836,2880,df_w_demo_025
13,0,247,1253,1845,383,279,1408,1690,351,279,1408,1690,351,df_w_demo_025
13,1,180,917,2199,432,205,1029,2087,407,205,1029,2087,407,df_w_demo_025
13,2,2465,691,136,436,2541,720,107,360,2541,720,107,360,df_w_demo_025
14,0,396,2053,1078,185,396,2053,1078,185,0,0,3131,581,df_w_demo_025
14,1,299,1658,1500,255,299,1658,1500,255,0,0,3158,554,df_w_demo_025
14,2,2358,612,156,586,2358,612,156,586,0,0,768,2944,df_w_demo_025
15,0,291,1585,1505,341,322,1682,1408,310,0,0,3090,632,df_w_demo_025
15,1,256,1354,1786,326,269,1455,1685,313,0,0,3140,582,df_w_demo_025
15,2,2310,660,157,595,2370,684,133,535,0,0,817,2905,df_w_demo_025
16,0,356,1806,1328,232,356,1806,1328,232,0,0,3134,588,df_w_demo_025
16,1,305,1626,1526,265,305,1626,1526,265,0,0,3152,570,df_w_demo_025
16,2,2320,601,184,617,2320,601,184,617,0,0,785,2937,df_w_demo_025
17,0,319,1588,1501,311,319,1588,1501,311,0,0,3089,630,df_w_demo_025
17,1,239,1299,1844,337,239,1299,1844,337,0,0,3143,576,df_w_demo_025
17,2,2306,654,159,600,2306,654,159,600,0,0,813,2906,df_w_demo_025
18,0,250,1321,1813,334,279,1501,1633,305,0,0,3134,584,df_w_demo_025
18,1,190,1097,2072,359,236,1370,1799,313,0,0,3169,549,df_w_demo_025
18,2,2337,622,141,618,2479,652,111,476,0,0,763,2955,df_w_demo_025
19,0,388,1917,1190,227,453,2213,894,162,0,0,3107,615,df_w_demo_025
19,1,137,921,2233,431,188,1125,2029,380,0,0,3154,568,df_w_demo_025
19,2,2272,602,191,657,2465,654,139,464,0,0,793,2929,df_w_demo_025
20,0,286,1495,1611,329,286,1495,1611,329,0,0,3106,615,df_w_demo_025
20,1,285,1651,1487,298,285,1651,1487,298,0,0,3138,583,df_w_demo_025
20,2,2353,667,144,557,2353,667,144,557,0,0,811,2910,df_w_demo_025
21,0,385,1933,1160,241,385,1933,1160,241,0,0,3093,626,df_w_demo_025
21,1,278,1475,1659,307,278,1475,1659,307,0,0,3134,585,df_w_demo_025
21,2,2320,664,143,592,2320,664,143,592,0,0,807,2912,df_w_demo_025
22,0,414,2050,1054,204,414,2050,1054,204,0,0,3104,618,df_w_demo_025
22,1,90,422,2683,527,90,422,2683,527,0,0,3105,617,df_w_demo_025
22,2,2250,656,175,641,2250,656,175,641,0,0,831,2891,df_w_demo_025
23,0,213,1320,1797,401,236,1416,1701,378,139,802,2315,475,df_w_demo_025
23,1,300,1669,1476,286,323,1780,1365,263,199,1078,2067,387,df_w_demo_025
23,2,2369,651,143,568,2421,669,125,516,1949,559,235,988,df_w_demo_025
24,0,312,1613,1483,315,335,1705,1391,292,0,0,3096,627,df_w_demo_025
24,1,307,1438,1688,290,317,1521,1605,280,0,0,3126,597,df_w_demo_025
24,2,2330,655,173,565,2417,670,158,478,0,0,828,2895,df_w_demo_025
25,0,161,913,2193,457,190,1050,2056,428,303,1583,1523,315,df_w_demo_025
25,1,114,597,2533,480,131,702,2428,463,204,1062,2068,390,df_w_demo_025
25,2,2505,684,129,406,2578,710,103,333,2734,761,52,177,df_w_demo_025
26,0,324,1556,1516,325,353,1690,1382,296,0,0,3072,649,df_w_demo_025
26,1,351,1670,1425,275,379,1822,1273,247,0,0,3095,626,df_w_demo_025
26,2,2365,689,142,525,2455,713,118,435,0,0,831,2890,df_w_demo_025
27,0,320,1705,1420,276,349,1880,1245,247,0,0,3125,596,df_w_demo_025
27,1,258,1541,1622,300,306,1759,1404,252,0,0,3163,558,df_w_demo_025
27,2,2255,612,149,705,2414,645,116,546,0,0,761,2960,df_w_demo_025
28,0,238,1071,2014,398,252,1148,1937,384,187,853,2232,449,df_w_demo_025
28,1,269,1437,1705,310,294,1529,1613,285,211,1155,1987,368,df_w_demo_025
28,2,2472,673,132,444,2530,687,118,386,2259,621,184,657,df_w_demo_025
29,0,267,1466,1672,322,300,1600,1538,289,0,0,3138,589,df_w_demo_025
29,1,405,2053,1076,193,430,2168,961,168,0,0,3129,598,df_w_demo_025
29,2,2335,643,153,596,2435,675,121,496,0,0,796,2931,df_w_demo_025
30,0,212,1158,1982,372,212,1158,1982,372,254,1382,1758,330,df_w_demo_025
30,1,165,1069,2112,378,165,1069,2112,378,204,1272,1909,339,df_w_demo_025
30,2,2495,632,124,473,2495,632,124,473,2629,666,90,339,df_w_demo_025
31,0,145,760,2358,465,164,866,2252,446,331,1657,1461,279,df_w_demo_025
31,1,122,577,2577,452,143,676,2478,431,270,1326,1828,304,df_w_demo_025
31,2,2591,700,101,336,2636,712,89,291,2829,775,26,98,df_w_demo_025
32,0,335,1695,1406,288,360,1792,1309,263,0,0,3101,623,df_w_demo_025
32,1,289,1416,1708,311,318,1558,1566,282,0,0,3124,600,df_w_demo_025
32,2,2349,670,153,552,2444,691,132,457,0,0,823,2901,df_w_demo_025
33,0,276,1614,1510,322,276,1614,1510,322,0,0,3124,598,df_w_demo_025
33,1,132,792,2357,441,132,792,2357,441,0,0,3149,573,df_w_demo_025
33,2,2350,629,153,590,2350,629,153,590,0,0,782,2940,df_w_demo_025
34,0,308,1675,1438,301,356,1897,1216,253,0,0,3113,609,df_w_demo_025
34,1,219,1132,2016,355,257,1324,1824,317,0,0,3148,574,df_w_demo_025
34,2,2271,662,147,642,2386,684,125,527,0,0,809,2913,df_w_demo_025
35,0,164,872,2257,436,164,872,2257,436,224,1192,1937,376,df_w_demo_025
35,1,183,1018,2122,406,183,1018,2122,406,251,1401,1739,338,df_w_demo_025
35,2,2516,701,110,402,2516,701,110,402,2640,732,79,278,df_w_demo_025
36,0,206,1058,2032,427,255,1255,1835,378,255,1255,1835,378,df_w_demo_025
36,1,161,887,2228,447,213,1091,2024,395,213,1091,2024,395,df_w_demo_025
36,2,2371,680,157,515,2511,728,109,375,2511,728,109,375,df_w_demo_025
37,0,385,2001,1103,226,385,2001,1103,226,0,0,3104,611,df_w_demo_025
37,1,228,1320,1815,352,228,1320,1815,352,0,0,3135,580,df_w_demo_025
37,2,2279,655,156,625,2279,655,156,625,0,0,811,2904,df_w_demo_025
38,0,342,1789,1331,262,414,2129,991,190,0,0,3120,604,df_w_demo_025
38,1,54,301,2845,524,83,414,2732,495,0,0,3146,578,df_w_demo_025
38,2,2325,607,175,617,2570,681,101,372,0,0,782,2942,df_w_demo_025
39,0,288,1425,1663,353,338,1627,1461,303,0,0,3088,641,df_w_demo_025
39,1,217,1126,1999,387,248,1278,1847,356,0,0,3125,604,df_w_demo_025
39,2,2410,666,164,489,2497,696,134,402,0,0,830,2899,df_w_demo_025
40,0,284,1379,1712,342,284,1379,1712,342,0,0,3091,626,df_w_demo_025
40,1,288,1390,1724,315,288,1390,1724,315,0,0,3114,603,df_w_demo_025
40,2,2275,637,179,626,2275,637,179,626,0,0,816,2901,df_w_demo_025
41,0,340,1796,1343,237,370,1950,1189,207,0,0,3139,577,df_w_demo_025
41,1,326,1841,1327,222,338,1922,1246,210,0,0,3168,548,df_w_demo_025
41,2,2295,592,165,664,2354,620,137,605,0,0,757,2959,df_w_demo_025
42,0,349,1656,1433,291,383,1801,1288,257,0,0,3089,640,df_w_demo_025
42,1,237,1208,1917,367,262,1352,1773,342,0,0,3125,604,df_w_demo_025
42,2,2337,663,160,569,2472,689,134,434,0,0,823,2906,df_w_demo_025
43,0,377,1982,1137,227,377,1982,1137,227,0,0,3119,604,df_w_demo_025
43,1,315,1721,1430,257,315,1721,1430,257,0,0,3151,572,df_w_demo_025
43,2,2225,584,189,725,2225,584,189,725,0,0,773,2950,df_w_demo_025
44,0,294,1535,1579,316,294,1535,1579,316,0,0,3114,610,df_w_demo_025
44,1,263,1370,1760,331,263,1370,1760,331,0,0,3130,594,df_w_demo_025
44,2,2417,667,150,490,2417,667,150,490,0,0,817,2907,df_w_demo_025
45,0,239,1186,1945,353,275,1403,1728,317,0,0,3131,592,df_w_demo_025
45,1,292,1499,1642,290,342,1789,1352,240,0,0,3141,582,df_w_demo_025
45,2,2304,581,208,630,2435,640,149,499,0,0,789,2934,df_w_demo_025
46,0,313,1674,1447,292,313,1674,1447,292,0,0,3121,605,df_w_demo_025
46,1,191,1112,2032,391,191,1112,2032,391,0,0,3144,582,df_w_demo_025
46,2,2403,660,146,517,2403,660,146,517,0,0,806,2920,df_w_demo_025
47,0,296,1664,1474,285,316,1775,1363,265,0,0,3138,581,df_w_demo_025
47,1,253,1445,1730,291,268,1551,1624,276,0,0,3175,544,df_w_demo_025
47,2,2393,624,132,570,2462,642,114,501,0,0,756,2963,df_w_demo_025
48,0,243,1130,1934,415,279,1295,1769,379,0,0,3064,658,df_w_demo_025
48,1,342,1708,1425,247,379,1940,1193,210,0,0,3133,589,df_w_demo_025
48,2,2258,632,198,634,2379,676,154,513,0,0,830,2892,df_w_demo_025
49,0,269,1402,1725,328,300,1592,1535,297,0,0,3127,597,df_w_demo_025
49,1,249,1387,1759,329,290,1595,1551,288,0,0,3146,578,df_w_demo_025
49,2,2312,630,160,622,2422,657,133,512,0,0,790,2934,df_w_demo_025
50,0,284,1479,1638,317,313,1627,1490,288,0,0,3117,601,df_w_demo_025
50,1,301,1685,1467,265,328,1816,1336,238,0,0,3152,566,df_w_demo_025
50,2,2261,601,191,665,2404,634,158,522,0,0,792,2926,df_w_demo_025
51,0,216,1098,2010,398,248,1267,1841,366,0,0,3108,614,df_w_demo_025
51,1,291,1561,1578,292,317,1702,1437,266,0,0,3139,583,df_w_demo_025
51,2,2263,623,185,651,2399,659,149,515,0,0,808,2914,df_w_demo_025
52,0,325,1575,1508,305,367,1755,1328,263,0,0,3083,630,df_w_demo_025
52,1,223,1309,1833,348,257,1497,1645,314,0,0,3142,571,df_w_demo_025
52,2,2321,633,179,580,2452,681,131,449,0,0,812,2901,df_w_demo_025
53,0,336,1617,1485,282,336,1617,1485,282,0,0,3102,618,df_w_demo_025
53,1,169,909,2219,423,169,909,2219,423,0,0,3128,592,df_w_demo_025
53,2,2387,660,153,520,2387,660,153,520,0,0,813,2907,df_w_demo_025
54,0,317,1555,1551,300,391,1943,1163,226,0,0,3106,617,df_w_demo_025
54,1,275,1520,1623,305,304,1654,1489,276,0,0,3143,580,df_w_demo_025
54,2,2198,603,200,722,2325,638,165,595,0,0,803,2920,df_w_demo_025
55,0,431,2059,1049,194,431,2059,1049,194,0,0,3108,625,df_w_demo_025
55,1,265,1414,1715,339,265,1414,1715,339,0,0,3129,604,df_w_demo_025
55,2,2310,631,182,610,2310,631,182,610,0,0,813,2920,df_w_demo_025
56,0,254,1211,1871,386,292,1379,1703,348,292,1379,1703,348,df_w_demo_025
56,1,173,928,2200,421,202,1065,2063,392,202,1065,2063,392,df_w_demo_025
56,2,2327,682,147,566,2453,713,116,440,2453,713,116,440,df_w_demo_025
57,0,322,1539,1582,280,350,1723,1398,252,0,0,3121,602,df_w_demo_025
57,1,242,1243,1889,349,269,1388,1744,322,0,0,3132,591,df_w_demo_025
57,2,2271,629,172,651,2414,664,137,508,0,0,801,2922,df_w_demo_025
58,0,368,1836,1266,247,368,1836,1266,247,0,0,3102,615,df_w_demo_025
58,1,325,1755,1381,256,325,1755,1381,256,0,0,3136,581,df_w_demo_025
58,2,2277,597,194,649,2277,597,194,649,0,0,791,2926,df_w_demo_025
59,0,246,1202,1917,364,269,1361,1758,341,269,1361,1758,341,df_w_demo_025
59,1,178,984,2177,390,222,1185,1976,346,222,1185,1976,346,df_w_demo_025
59,2,2508,662,131,428,2590,686,107,346,2590,686,107,346,df_w_demo_025
60,0,330,1771,1338,280,330,1771,1338,280,0,0,3109,610,df_w_demo_025
60,1,186,904,2204,425,186,904,2204,425,0,0,3108,611,df_w_demo_025
60,2,2420,681,126,492,2420,681,126,492,0,0,807,2912,df_w_demo_025
61,0,141,661,2426,495,178,835,2252,458,258,1289,1798,378,df_w_demo_025
61,1,165,758,2387,413,200,996,2149,378,283,1543,1602,295,df_w_demo_025
61,2,2379,668,150,526,2550,717,101,355,2740,773,45,165,df_w_demo_025
62,0,420,2034,1047,217,420,2034,1047,217,0,0,3081,637,df_w_demo_025
62,1,241,1301,1835,341,241,1301,1835,341,0,0,3136,582,df_w_demo_025
62,2,2298,630,185,605,2298,630,185,605,0,0,815,2903,df_w_demo_025
63,0,300,1653,1468,300,340,1842,1279,260,0,0,3121,600,df_w_demo_025
63,1,281,1571,1592,277,332,1890,1273,226,0,0,3163,558,df_w_demo_025
63,2,2199,581,203,738,2414,641,143,523,0,0,784,2937,df_w_demo_025
64,0,347,1458,1628,292,372,1581,1505,267,0,0,3086,639,df_w_demo_025
64,1,299,1441,1672,313,327,1572,1541,285,0,0,3113,612,df_w_demo_025
64,2,2377,647,176,525,2440,662,161,462,0,0,823,2902,df_w_demo_025
65,0,325,1712,1391,293,351,1848,1255,267,297,1572,1531,321,df_w_demo_025
65,1,141,758,2341,481,163,856,2243,459,119,662,2437,503,df_w_demo_025
65,2,2421,681,153,466,2486,704,130,401,2336,657,177,551,df_w_demo_025
66,0,222,1151,1985,364,273,1405,1731,313,250,1286,1850,336,df_w_demo_025
66,1,200,1043,2091,388,228,1253,1881,360,216,1163,1971,372,df_w_demo_025
66,2,2449,676,131,466,2548,705,102,367,2503,693,114,412,df_w_demo_025
67,0,363,1687,1413,257,376,1756,1344,244,0,0,3100,620,df_w_demo_025
67,1,319,1614,1496,291,339,1719,1391,271,0,0,3110,610,df_w_demo_025
67,2,2295,627,190,608,2345,646,171,558,0,0,817,2903,df_w_demo_025
68,0,312,1518,1571,319,328,1621,1468,303,0,0,3089,631,df_w_demo_025
68,1,325,1675,1444,276,342,1770,1349,259,0,0,3119,601,df_w_demo_025
68,2,2295,663,170,592,2361,682,151,526,0,0,833,2887,df_w_demo_025
69,0,242,1150,1932,401,278,1355,1727,365,278,1355,1727,365,df_w_demo_025
69,1,174,851,2291,409,217,1080,2062,366,217,1080,2062,366,df_w_demo_025
69,2,2300,657,166,602,2470,708,115,432,2470,708,115,432,df_w_demo_025
70,0,216,999,2102,395,240,1115,1986,371,303,1372,1729,308,df_w_demo_025
70,1,202,1122,2012,376,214,1207,1927,364,241,1403,1731,337,df_w_demo_025
70,2,2495,665,143,409,2576,688,120,328,2693,729,79,211,df_w_demo_025
71,0,314,1661,1443,305,342,1760,1344,277,0,0,3104,619,df_w_demo_025
71,1,228,1277,1877,341,247,1386,1768,322,0,0,3154,569,df_w_demo_025
71,2,2307,668,139,609,2404,688,119,512,0,0,807,2916,df_w_demo_025
72,0,387,1701,1365,269,418,1879,1187,238,0,0,3066,656,df_w_demo_025
72,1,221,1227,1891,383,255,1399,1719,349,0,0,3118,604,df_w_demo_025
72,2,2191,653,188,690,2317,693,148,564,0,0,841,2881,df_w_demo_025
73,0,329,1701,1402,291,329,1701,1402,291,0,0,3103,620,df_w_demo_025
73,1,262,1595,1560,306,262,1595,1560,306,0,0,3155,568,df_w_demo_025
73,2,2372,641,159,551,2372,641,159,551,0,0,800,2923,df_w_demo_025
74,0,274,1275,1808,364,309,1490,1593,329,0,0,3083,638,df_w_demo_025
74,1,352,1866,1268,235,407,2145,989,180,0,0,3134,587,df_w_demo_025
74,2,2178,622,198,723,2354,681,139,547,0,0,820,2901,df_w_demo_025
75,0,371,1743,1358,248,371,1743,1358,248,0,0,3101,619,df_w_demo_025
75,1,262,1479,1675,304,262,1479,1675,304,0,0,3154,566,df_w_demo_025
75,2,2373,642,154,551,2373,642,154,551,0,0,796,2924,df_w_demo_025
76,0,244,1352,1755,369,244,1352,1755,369,0,0,3107,613,df_w_demo_025
76,1,128,705,2445,442,128,705,2445,442,0,0,3150,570,df_w_demo_025
76,2,2418,676,118,508,2418,676,118,508,0,0,794,2926,df_w_demo_025
77,0,233,1324,1792,373,264,1476,1640,342,0,0,3116,606,df_w_demo_025
77,1,304,1683,1462,273,342,1878,1267,235,0,0,3145,577,df_w_demo_025
77,2,2348,642,153,579,2443,677,118,484,0,0,795,2927,df_w_demo_025
78,0,310,1517,1592,305,345,1684,1425,270,0,0,3109,615,df_w_demo_025
78,1,274,1405,1731,314,305,1595,1541,283,0,0,3136,588,df_w_demo_025
78,2,2347,670,152,555,2443,706,116,459,0,0,822,2902,df_w_demo_025
79,0,314,1575,1520,312,314,1575,1520,312,0,0,3095,626,df_w_demo_025
79,1,254,1338,1778,351,254,1338,1778,351,0,0,3116,605,df_w_demo_025
79,2,2389,718,113,501,2389,718,113,501,0,0,831,2890,df_w_demo_025
80,0,272,1478,1639,332,288,1579,1538,316,0,0,3117,604,df_w_demo_025
80,1,289,1523,1600,309,310,1634,1489,288,0,0,3123,598,df_w_demo_025
80,2,2401,676,120,524,2475,696,100,450,0,0,796,2925,df_w_demo_025
81,0,276,1489,1641,316,319,1697,1433,273,214,1088,2042,378,df_w_demo_025
81,1,235,1253,1892,342,269,1430,1715,308,178,921,2224,399,df_w_demo_025
81,2,2439,632,161,490,2547,669,124,382,2191,560,233,738,df_w_demo_025
82,0,345,1885,1231,256,371,2009,1107,230,0,0,3116,601,df_w_demo_025
82,1,309,1601,1521,286,331,1724,1398,264,0,0,3122,595,df_w_demo_025
82,2,2370,641,161,545,2443,667,135,472,0,0,802,2915,df_w_demo_025
83,0,235,1028,2078,380,235,1028,2078,380,0,0,3106,615,df_w_demo_025
83,1,255,1376,1766,324,255,1376,1766,324,0,0,3142,579,df_w_demo_025
83,2,2346,633,164,578,2346,633,164,578,0,0,797,2924,df_w_demo_025
84,0,375,1737,1346,255,413,1900,1183,217,0,0,3083,630,df_w_demo_025
84,1,247,1117,1983,366,280,1326,1774,333,0,0,3100,613,df_w_demo_025
84,2,2238,655,167,653,2397,692,130,494,0,0,822,2891,df_w_demo_025
85,0,321,1570,1517,311,321,1570,1517,311,0,0,3087,632,df_w_demo_025
85,1,240,1317,1790,372,240,1317,1790,372,0,0,3107,612,df_w_demo_025
85,2,2391,674,152,502,2391,674,152,502,0,0,826,2893,df_w_demo_025
86,0,309,1688,1433,292,309,1688,1433,292,0,0,3121,601,df_w_demo_025
86,1,357,1951,1186,228,357,1951,1186,228,0,0,3137,585,df_w_demo_025
86,2,2318,623,165,616,2318,623,165,616,0,0,788,2934,df_w_demo_025
87,0,299,1689,1449,291,319,1773,1365,271,0,0,3138,590,df_w_demo_025
87,1,285,1557,1604,282,298,1629,1532,269,0,0,3161,567,df_w_demo_025
87,2,2365,633,147,583,2431,641,139,517,0,0,780,2948,df_w_demo_025
88,0,294,1435,1658,332,294,1435,1658,332,294,1435,1658,332,df_w_demo_025
88,1,237,1283,1856,343,237,1283,1856,343,237,1283,1856,343,df_w_demo_025
88,2,2414,671,144,490,2414,671,144,490,2414,671,144,490,df_w_demo_025
89,0,378,1803,1301,243,378,1803,1301,243,0,0,3104,621,df_w_demo_025
89,1,230,1287,1862,346,230,1287,1862,346,0,0,3149,576,df_w_demo_025
89,2,2259,630,169,667,2259,630,169,667,0,0,799,2926,df_w_demo_025
90,0,308,1378,1713,327,377,1691,1400,258,0,0,3091,635,df_w_demo_025
90,1,300,1617,1530,279,350,1956,1191,229,0,0,3147,579,df_w_demo_025
90,2,2140,605,206,775,2358,663,148,557,0,0,811,2915,df_w_demo_025
91,0,327,1674,1447,280,351,1781,1340,256,0,0,3121,607,df_w_demo_025
91,1,239,1443,1730,316,268,1568,1605,287,0,0,3173,555,df_w_demo_025
91,2,2356,603,182,587,2427,631,154,516,0,0,785,2943,df_w_demo_025
92,0,265,1415,1695,343,294,1529,1581,314,265,1415,1695,343,df_w_demo_025
92,1,196,1035,2094,393,215,1161,1968,374,196,1035,2094,393,df_w_demo_025
92,2,2275,617,195,631,2394,653,159,512,2275,617,195,631,df_w_demo_025
93,0,289,1555,1579,301,289,1555,1579,301,0,0,3134,590,df_w_demo_025
93,1,196,1035,2143,350,196,1035,2143,350,0,0,3178,546,df_w_demo_025
93,2,2431,630,143,520,2431,630,143,520,0,0,773,2951,df_w_demo_025
94,0,239,1136,1953,395,274,1322,1767,360,344,1652,1437,290,df_w_demo_025
94,1,131,741,2378,473,155,853,2266,449,206,1132,1987,398,df_w_demo_025
94,2,2418,697,128,480,2491,718,107,407,2645,758,67,253,df_w_demo_025
95,0,368,1785,1309,264,368,1785,1309,264,0,0,3094,632,df_w_demo_025
95,1,114,586,2538,488,114,586,2538,488,0,0,3124,602,df_w_demo_025
95,2,2382,675,145,524,2382,675,145,524,0,0,820,2906,df_w_demo_025
96,0,353,1802,1323,247,386,1939,1186,214,0,0,3125,600,df_w_demo_025
96,1,258,1482,1682,303,266,1584,1580,295,0,0,3164,561,df_w_demo_025
96,2,2360,625,156,584,2440,644,137,504,0,0,781,2944,df_w_demo_025
97,0,245,1257,1837,388,277,1429,1665,356,0,0,3094,633,df_w_demo_025
97,1,234,1263,1871,359,272,1378,1756,321,0,0,3134,593,df_w_demo_025
97,2,2336,672,157,562,2444,697,132,454,0,0,829,2898,df_w_demo_025
98,0,252,1243,1860,362,291,1502,1601,323,334,1741,1362,280,df_w_demo_025
98,1,89,471,2656,501,126,633,2494,464,154,824,2303,436,df_w_demo_025
98,2,2317,662,151,587,2490,705,108,414,2626,736,77,278,df_w_demo_025
99,0,387,1955,1146,233,387,1955,1146,233,0,0,3101,620,df_w_demo_025
99,1,205,1090,2041,385,205,1090,2041,385,0,0,3131,590,df_w_demo_025
99,2,2351,649,160,561,2351,649,160,561,0,0,809,2912,df_w_demo_025
0,0,362,1797,1280,287,419,2025,1052,230,219,1057,2020,430,df_wo_demo_01
0,1,373,2050,1112,191,408,2271,891,156,234,1287,1875,330,df_wo_demo_01
0,2,2822,775,20,109,2874,785,10,57,2460,685,110,471,df_wo_demo_01
1,0,512,2552,565,100,512,2552,565,100,0,0,3117,612,df_wo_demo_01
1,1,488,2792,388,61,488,2792,388,61,0,0,3180,549,df_wo_demo_01
1,2,2636,707,78,308,2636,707,78,308,0,0,785,2944,df_wo_demo_01
2,0,437,2355,770,157,456,2460,665,138,0,0,3125,594,df_wo_demo_01
2,1,393,2225,949,152,417,2348,826,128,0,0,3174,545,df_wo_demo_01
2,2,2795,733,40,151,2845,746,27,101,0,0,773,2946,df_wo_demo_01
3,0,457,2320,777,169,496,2506,591,130,0,0,3097,626,df_wo_demo_01
3,1,425,2207,922,169,455,2384,745,139,0,0,3129,594,df_wo_demo_01
3,2,2673,760,59,231,2742,768,51,162,0,0,819,2904,df_wo_demo_01
4,0,465,2249,870,142,465,2249,870,142,0,0,3119,607,df_wo_demo_01
4,1,388,2117,1032,189,388,2117,1032,189,0,0,3149,577,df_wo_demo_01
4,2,2786,744,42,154,2786,744,42,154,0,0,786,2940,df_wo_demo_01
5,0,442,2257,862,162,459,2340,779,145,0,0,3119,604,df_wo_demo_01
5,1,481,2458,660,124,501,2554,564,104,0,0,3118,605,df_wo_demo_01
5,2,2740,778,42,163,2769,791,29,134,0,0,820,2903,df_wo_demo_01
6,0,380,2114,1015,213,423,2292,837,170,0,0,3129,593,df_wo_demo_01
6,1,371,1965,1169,217,413,2199,935,175,0,0,3134,588,df_wo_demo_01
6,2,2791,736,39,156,2851,754,21,96,0,0,775,2947,df_wo_demo_01
7,0,457,2407,729,127,485,2540,596,99,0,0,3136,584,df_wo_demo_01
7,1,437,2371,762,150,482,2618,515,105,0,0,3133,587,df_wo_demo_01
7,2,2609,687,90,334,2738,720,57,205,0,0,777,2943,df_wo_demo_01
8,0,429,2276,854,165,429,2276,854,165,0,0,3130,594,df_wo_demo_01
8,1,458,2694,491,81,458,2694,491,81,0,0,3185,539,df_wo_demo_01
8,2,2732,730,40,222,2732,730,40,222,0,0,770,2954,df_wo_demo_01
9,0,491,2470,651,110,512,2579,542,89,0,0,3121,601,df_wo_demo_01
9,1,395,2140,1010,177,430,2287,863,142,0,0,3150,572,df_wo_demo_01
9,2,2688,743,56,235,2754,759,40,169,0,0,799,2923,df_wo_demo_01
10,0,483,2333,774,127,504,2456,651,106,0,0,3107,610,df_wo_demo_01
10,1,426,2363,775,153,458,2491,647,121,0,0,3138,579,df_wo_demo_01
10,2,2728,748,58,183,2770,760,46,141,0,0,806,2911,df_wo_demo_01
11,0,455,2466,662,137,486,2607,521,106,0,0,3128,592,df_wo_demo_01
11,1,425,2455,714,126,445,2550,619,106,0,0,3169,551,df_wo_demo_01
11,2,2727,719,56,218,2759,733,42,186,0,0,775,2945,df_wo_demo_01
12,0,502,2474,615,125,521,2582,507,106,0,0,3089,627,df_wo_demo_01
12,1,416,1992,1111,197,434,2157,946,179,0,0,3103,613,df_wo_demo_01
12,2,2644,779,57,236,2701,797,39,179,0,0,836,2880,df_wo_demo_01
13,0,470,2318,780,160,497,2421,677,133,0,0,3098,630,df_wo_demo_01
13,1,373,1805,1311,239,404,1958,1158,208,0,0,3116,612,df_wo_demo_01
13,2,2760,779,48,141,2789,792,35,112,0,0,827,2901,df_wo_demo_01
14,0,467,2518,613,114,478,2585,546,103,0,0,3131,581,df_wo_demo_01
14,1,414,2380,778,140,433,2484,674,121,0,0,3158,554,df_wo_demo_01
14,2,2752,710,58,192,2795,731,37,149,0,0,768,2944,df_wo_demo_01
15,0,477,2400,690,155,500,2488,602,132,0,0,3090,632,df_wo_demo_01
15,1,392,2129,1011,190,407,2255,885,175,0,0,3140,582,df_wo_demo_01
15,2,2687,762,55,218,2735,769,48,170,0,0,817,2905,df_wo_demo_01
16,0,483,2505,629,105,499,2625,509,89,0,0,3134,588,df_wo_demo_01
16,1,436,2384,768,134,452,2517,635,118,0,0,3152,570,df_wo_demo_01
16,2,2693,710,75,244,2771,732,53,166,0,0,785,2937,df_wo_demo_01
17,0,446,2169,920,184,466,2324,765,164,0,0,3089,630,df_wo_demo_01
17,1,410,2303,840,166,434,2435,708,142,0,0,3143,576,df_wo_demo_01
17,2,2730,768,45,176,2785,780,33,121,0,0,813,2906,df_wo_demo_01
18,0,376,2083,1051,208,410,2248,886,174,0,0,3134,584,df_wo_demo_01
18,1,378,2192,977,171,418,2386,783,131,0,0,3169,549,df_wo_demo_01
18,2,2767,716,47,188,2844,739,24,111,0,0,763,2955,df_wo_demo_01
