run,base_recall_micro,crc_recall_micro,rcps_recall_micro,ltt_recall_micro,base_recall_macro,crc_recall_macro,rcps_recall_macro,ltt_recall_macro,base_recall_weighted,crc_recall_weighted,rcps_recall_weighted,ltt_recall_weighted,base_recall_samples,crc_recall_samples,rcps_recall_samples,ltt_recall_samples,base_precision_micro,crc_precision_micro,rcps_precision_micro,ltt_precision_micro,base_precision_macro,crc_precision_macro,rcps_precision_macro,ltt_precision_macro,base_precision_weighted,crc_precision_weighted,rcps_precision_weighted,ltt_precision_weighted,base_precision_samples,crc_precision_samples,rcps_precision_samples,ltt_precision_samples,base_avg_prediction_set_size,base_total_false_positives,base_total_false_negatives,crc_avg_prediction_set_size,crc_total_false_positives,crc_total_false_negatives,rcps_avg_prediction_set_size,rcps_total_false_positives,rcps_total_false_negatives,ltt_avg_prediction_set_size,ltt_total_false_positives,ltt_total_false_negatives,with_demographics
10,0.46390243902439027,0.714390243902439,0.7295121951219512,0.7429268292682927,0.3160619767758566,0.5665706654326925,0.5839851337190196,0.6009422131396374,0.46390243902439027,0.714390243902439,0.7295121951219512,0.7429268292682927,0.4924670433145009,0.7433414043583535,0.7577347323110035,0.7706483723432876,0.539727582292849,0.47595060123496913,0.472661188369153,0.4659629799602264,0.3683122891941018,0.37371345066401157,0.3741436054053799,0.37309530666276314,0.6061814371559865,0.6061360207680493,0.6062724236461036,0.6054743762423576,0.48354407676441574,0.5422383642722626,0.5386960810689624,0.5315218366065824,0.9480764057035244,1622,2198,1.6556362658057573,3225,1171,1.7024482109227872,3337,1109,1.7586763518966908,3491,1054,True
11,0.361545988258317,0.7363013698630136,0.7605185909980431,0.0,0.2570702537617531,0.6397385852569974,0.6656443582801818,0.0,0.361545988258317,0.7363013698630136,0.7605185909980431,0.0,0.3803763440860215,0.753494623655914,0.7778225806451613,0.0,0.49464524765729584,0.4229904440697021,0.4190591723952015,0.0,0.3570168072678432,0.3658048235996511,0.3655412593133927,0.0,0.6084675007634205,0.6111154459097853,0.6113330619892349,0.0,0.37983870967741934,0.47679211469534044,0.47011648745519713,0.0,0.8032258064516129,1510,2610,1.9129032258064516,4106,1078,1.9943548387096774,4310,979,0.0,0,4088,True
12,0.21237864077669902,0.7337378640776699,0.7337378640776699,0.0,0.16797053489012792,0.6425955485133815,0.6425955485133815,0.0,0.21237864077669902,0.7337378640776699,0.7337378640776699,0.0,0.22214747039827773,0.7534983853606028,0.7534983853606028,0.0,0.4789272030651341,0.4169080126879051,0.4169080126879051,0.0,0.37387155823266616,0.3674829687227931,0.3674829687227931,0.0,0.5938734178465026,0.5920173443961938,0.5920173443961938,0.0,0.22860602798708288,0.4552386078220309,0.4552386078220309,0.0,0.49165769644779334,952,3245,1.951291711517761,4228,1097,1.951291711517761,4228,1097,0.0,0,4120,True
13,0.32971276852522324,0.6980448950036205,0.7301472363021965,0.7301472363021965,0.21004885465619086,0.5119627122364515,0.5512431078371828,0.5512431078371828,0.32971276852522324,0.6980448950036205,0.7301472363021965,0.7301472363021965,0.35555257510729615,0.7368562231759657,0.7674356223175965,0.7674356223175965,0.5941713788603741,0.5026942464800973,0.4893238434163701,0.4893238434163701,0.3791503508431327,0.369934165421769,0.370239195101967,0.370239195101967,0.5961654664543844,0.5961841840411366,0.5953041418985539,0.5953041418985539,0.3579667381974249,0.5572246065808297,0.5426055078683835,0.5426055078683835,0.6166845493562232,933,2777,1.54318669527897,2861,1251,1.6582618025751072,3157,1118,1.6582618025751072,3157,1118,True
14,0.2878156410885021,0.7484677617063006,0.7484677617063006,0.0,0.22367540224467164,0.6740819183521539,0.6740819183521539,0.0,0.2878156410885021,0.7484677617063006,0.7484677617063006,0.0,0.29997306034482757,0.7611799568965517,0.7611799568965517,0.0,0.4780130293159609,0.413909978308026,0.413909978308026,0.0,0.3708226642966908,0.36947430708633444,0.36947430708633444,0.0,0.6229170830875078,0.6168049309905473,0.6168049309905473,0.0,0.2988505747126437,0.45640265804597696,0.45640265804597696,0.0,0.6616379310344828,1282,2905,1.9870689655172413,4323,1026,1.9870689655172413,4323,1026,0.0,0,4079,True
15,0.34207331876669095,0.693614955086186,0.7188638018936635,0.0,0.24815854645441818,0.5651621012738587,0.5958425837476163,0.0,0.34207331876669095,0.693614955086186,0.7188638018936635,0.0,0.3610961848468565,0.718833960236432,0.7428801719505642,0.0,0.48023176550783914,0.44253407682775714,0.43659687407844294,0.0,0.3544494614178925,0.36396708658227156,0.3642475198326182,0.0,0.5882781856569979,0.5948094621242703,0.5940109549343243,0.0,0.362260433458714,0.4908203474834319,0.48320795271359485,0.0,0.7882858678130038,1525,2710,1.7345513164965072,3599,1262,1.8221386351423965,3821,1158,0.0,0,4119,True
16,0.2617826617826618,0.7279609279609279,0.7279609279609279,0.0,0.19459206652752314,0.6434838616556958,0.6434838616556958,0.0,0.2617826617826618,0.7279609279609279,0.7279609279609279,0.0,0.27391187533584094,0.7435518538420204,0.7435518538420204,0.0,0.5288603848051308,0.425007128599943,0.425007128599943,0.0,0.3862861160425785,0.3722867145962629,0.3722867145962629,0.0,0.627587234693748,0.615277291895812,0.615277291895812,0.0,0.277628515135232,0.47062511194698187,0.47062511194698187,0.0,0.5445996775926921,955,3023,1.8844707146695325,4033,1114,1.8844707146695325,4033,1114,0.0,0,4095,True
17,0.1607490272373541,0.6964980544747081,0.6964980544747081,0.0,0.13351408507120827,0.5716034627317318,0.5716034627317318,0.0,0.1607490272373541,0.6964980544747081,0.6964980544747081,0.0,0.16698037106749125,0.7222371605270234,0.7222371605270234,0.0,0.4496598639455782,0.44715066354410615,0.44715066354410615,0.0,0.37357817620975514,0.3672430402878522,0.3672430402878522,0.0,0.6043559399846518,0.5979632674479184,0.5979632674479184,0.0,0.17182038182307072,0.4869140449941741,0.4869140449941741,0.0,0.395267545038989,809,3451,1.7222371605270235,3541,1248,1.7222371605270235,3541,1248,0.0,0,4112,True
18,0.27959882583170254,0.6793052837573386,0.7323874755381604,0.0,0.166997240126631,0.5216763082166659,0.5821764370507247,0.0,0.27959882583170254,0.6793052837573386,0.7323874755381604,0.0,0.3006993006993007,0.7079074771382464,0.7599515868746638,0.0,0.6321902654867256,0.47739384562489257,0.4594138407242596,0.0,0.3847617839957125,0.36551943542021603,0.3651501118822007,0.0,0.6280804124570538,0.6134599345196678,0.6144477296959873,0.0,0.3041958041958042,0.515599784830554,0.5021965214272907,0.0,0.48628294782140935,665,2945,1.564550833781603,3040,1311,1.752824098977945,3523,1094,0.0,0,4088,True
19,0.08414396887159534,0.680204280155642,0.7553501945525292,0.0,0.051475965184976075,0.5492609514271177,0.6363851465874859,0.0,0.08414396887159534,0.680204280155642,0.7553501945525292,0.0,0.09000537345513165,0.7045943041375604,0.777270284793122,0.0,0.5815126050420169,0.44845278178611514,0.43758805297266834,0.0,0.3585842133513515,0.3627850531938177,0.36780614597336125,0.0,0.6116570141427256,0.6061654528723289,0.6081389100009746,0.0,0.09188608275120903,0.46328138993372736,0.4601020956475013,0.0,0.1598602901665771,249,3766,1.6757119828049436,3440,1315,1.9070392262224611,3992,1006,0.0,0,4112,True
